"forcename","offencedescription","totaltheftoffenses"
"Devon and Cornwall","Interfering with a motor vehicle","4664"
"Hampshire","Attempted burglary in a building other than a dwelling (outcome only)","4654"
"North Wales","Burglary in a building other than a dwelling (outcome only)","4646"
"Norfolk","Burglary in a dwelling(outcome only)","4629"
"Cumbria","Burglary in a building other than a dwelling (outcome only)","4616"
"Suffolk","Burglary in a dwelling(outcome only)","4603"
"North Yorkshire","Theft from the person","4586"
"North Wales","Burglary Business and Community","4562"
"Wiltshire","Interfering with a motor vehicle","4547"
"West Yorkshire","Aggravated vehicle taking","4533"
"Suffolk","Interfering with a motor vehicle","4519"
"Metropolitan Police","Distraction burglary in a dwelling (outcome only)","4493"
"Merseyside","Burglary in a building other than a dwelling","4479"
"Surrey","Attempted Burglary Residential","4442"
"Lincolnshire","Interfering with a motor vehicle","4426"
"Hampshire","Blackmail","4413"
"Merseyside","Attempted burglary in a dwelling (outcome only)","4385"
"Gwent","Making off without payment","4382"
"West Mercia","Burglary in a building other than a dwelling","4334"
"Northumbria","Burglary in a building other than a dwelling","4334"
"Gloucestershire","Interfering with a motor vehicle","4332"
"South Wales","Attempted Burglary Residential","4318"
"Essex","Theft of mail","4303"
"West Midlands","Theft by an employee","4251"
"Cumbria","Theft in a dwelling other than from an automatic machine or meter","4244"
"Devon and Cornwall","Burglary in a building other than a dwelling","4233"
"West Mercia","Attempted Burglary Residential","4186"
"Sussex","Attempted Burglary Residential","4181"
"Metropolitan Police","Distraction Burglary Residential","4175"
"Essex","Blackmail","4156"
"Gloucestershire","Theft in a dwelling other than from an automatic machine or meter","4123"
"Wiltshire","Burglary in a dwelling(outcome only)","4119"
"South Yorkshire","Attempted burglary in a building other than a dwelling (outcome only)","4116"
"Avon and Somerset","Burglary in a dwelling","4109"
"Cleveland","Attempted Burglary Residential","4094"
"Gwent","Theft or unauthorised taking of a pedal cycle","4093"
"Cheshire","Interfering with a motor vehicle","4076"
"West Midlands","Theft from automatic machine or meter","4042"
"Durham","Interfering with a motor vehicle","3976"
"Avon and Somerset","Blackmail","3964"
"Nottinghamshire","Burglary in a building other than a dwelling","3945"
"Gwent","Interfering with a motor vehicle","3893"
"Lancashire","Attempted burglary in a building other than a dwelling (outcome only)","3871"
"Kent","Attempted burglary in a building other than a dwelling (outcome only)","3868"
"Metropolitan Police","Attempted burglary in a building other than a dwelling","3854"
"Humberside","Attempted burglary in a building other than a dwelling (outcome only)","3846"
"London, City of","Theft or unauthorised taking of a pedal cycle","3821"
"Dorset","Theft in a dwelling other than from an automatic machine or meter","3795"
"Hertfordshire","Attempted Burglary Residential","3759"
"Warwickshire","Theft in a dwelling other than from an automatic machine or meter","3713"
"Surrey","Burglary in a building other than a dwelling","3702"
"Derbyshire","Burglary in a building other than a dwelling","3653"
"Lancashire","Burglary in a dwelling","3639"
"Devon and Cornwall","Blackmail","3637"
"Metropolitan Police","Aggravated Burglary Residential","3606"
"Cumbria","Burglary Business and Community","3593"
"Wiltshire","Theft from the person","3588"
"Staffordshire","Burglary in a building other than a dwelling","3568"
"Kent","Attempted burglary in a dwelling (outcome only)","3564"
"Greater Manchester","Dishonest use of electricity","3538"
"Dyfed-Powys","Theft in a dwelling other than from an automatic machine or meter","3530"
"Derbyshire","Attempted Burglary Residential","3526"
"Sussex","Blackmail","3525"
"Warwickshire","Theft from the person","3499"
"Gloucestershire","Theft from the person","3498"
"South Wales","Burglary in a dwelling","3486"
"South Yorkshire","Attempted Burglary Business and Community","3485"
"Nottinghamshire","Burglary in a dwelling","3464"
"Cheshire","Burglary in a building other than a dwelling","3462"
"Cheshire","Attempted Burglary Residential","3455"
"Bedfordshire","Attempted Burglary Residential","3431"
"West Midlands","Aggravated vehicle taking","3431"
"Cumbria","Theft or unauthorised taking of a pedal cycle","3409"
"West Yorkshire","Dishonest use of electricity","3387"
"Avon and Somerset","Attempted burglary in a dwelling (outcome only)","3338"
"Leicestershire","Burglary in a dwelling","3338"
"Metropolitan Police","Residential burglary of a home","3315"
"British Transport Police","Theft or unauthorised taking of motor vehicle","3299"
"Sussex","Burglary in a dwelling","3295"
"Avon and Somerset","Attempted burglary in a building other than a dwelling (outcome only)","3293"
"Humberside","Burglary in a dwelling","3231"
"Northamptonshire","Attempted Burglary Residential","3230"
"Thames Valley","Attempted burglary in a dwelling (outcome only)","3227"
"Hampshire","Burglary in a dwelling","3222"
"Essex","Attempted burglary in a building other than a dwelling (outcome only)","3218"
"Lancashire","Attempted Burglary Business and Community","3212"
"Leicestershire","Attempted Burglary Residential","3205"
"Sussex","Attempted burglary in a building other than a dwelling (outcome only)","3174"
"North Yorkshire","Interfering with a motor vehicle","3102"
"Hampshire","Theft by an employee","3093"
"Hampshire","Attempted Burglary Business and Community","3085"
"South Wales","Blackmail","3065"
"Gwent","Attempted Burglary Residential","3059"
"Staffordshire","Attempted Burglary Residential","3046"
"Lincolnshire","Burglary in a building other than a dwelling","3033"
"Northamptonshire","Burglary in a building other than a dwelling","3028"
"Cumbria","Making off without payment","3016"
"Northumbria","Attempted Burglary Residential","3006"
"Leicestershire","Burglary in a building other than a dwelling","2995"
"West Yorkshire","Attempted burglary in a dwelling","2992"
"Essex","Theft by an employee","2985"
"Dorset","Burglary in a building other than a dwelling","2980"
"Kent","Aggravated vehicle taking","2969"
"Kent","Theft by an employee","2944"
"West Midlands","Dishonest use of electricity","2939"
"Lincolnshire","Theft from the person","2938"
"Dorset","Interfering with a motor vehicle","2890"
"Devon and Cornwall","Burglary in a dwelling","2878"
"Surrey","Burglary in a dwelling","2867"
"Dyfed-Powys","Burglary in a building other than a dwelling (outcome only)","2866"
"Metropolitan Police","Dishonest use of electricity","2846"
"Metropolitan Police","Theft from automatic machine or meter","2827"
"Northumbria","Blackmail","2820"
"Greater Manchester","Theft of mail","2811"
"Cumbria","Theft or unauthorised taking of motor vehicle","2806"
"Thames Valley","Attempted Burglary Business and Community","2802"
"South Wales","Attempted burglary in a building other than a dwelling (outcome only)","2769"
"Leicestershire","Blackmail","2737"
"Lancashire","Attempted burglary in a dwelling (outcome only)","2730"
"Thames Valley","Theft of mail","2728"
"Greater Manchester","Theft from automatic machine or meter","2716"
"Norfolk","Interfering with a motor vehicle","2702"
"Northumbria","Burglary in a dwelling","2690"
"Merseyside","Attempted burglary in a building other than a dwelling (outcome only)","2689"
"North Wales","Burglary in a building other than a dwelling","2688"
"Northumbria","Theft by an employee","2682"
"Wiltshire","Burglary in a building other than a dwelling","2680"
"Nottinghamshire","Attempted burglary in a dwelling (outcome only)","2675"
"Kent","Attempted Burglary Business and Community","2651"
"Devon and Cornwall","Theft by an employee","2647"
"Gwent","Theft from the person","2647"
"Northamptonshire","Burglary in a dwelling","2638"
"Avon and Somerset","Theft by an employee","2637"
"Suffolk","Burglary in a building other than a dwelling","2635"
"Dyfed-Powys","Making off without payment","2626"
"Cambridgeshire","Burglary in a building other than a dwelling","2615"
"Hampshire","Attempted burglary in a dwelling (outcome only)","2602"
"South Yorkshire","Theft by an employee","2598"
"Northumbria","Attempted burglary in a building other than a dwelling (outcome only)","2596"
"Lancashire","Blackmail","2591"
"South Yorkshire","Blackmail","2541"
"North Wales","Interfering with a motor vehicle","2530"
"South Wales","Attempted burglary in a dwelling (outcome only)","2521"
"Sussex","Theft by an employee","2510"
"Gwent","Burglary in a building other than a dwelling","2503"
"Lancashire","Theft by an employee","2496"
"Avon and Somerset","Attempted Burglary Business and Community","2496"
"Nottinghamshire","Blackmail","2491"
"Lincolnshire","Attempted Burglary Residential","2487"
"Sussex","Attempted Burglary Business and Community","2475"
"Humberside","Attempted burglary in a dwelling (outcome only)","2475"
"Dyfed-Powys","Burglary Business and Community","2473"
"North Yorkshire","Burglary in a building other than a dwelling","2466"
"Durham","Attempted Burglary Residential","2461"
"West Mercia","Blackmail","2452"
"Surrey","Blackmail","2442"
"Derbyshire","Burglary in a dwelling","2437"
"Hertfordshire","Burglary in a dwelling","2427"
"Bedfordshire","Burglary in a dwelling","2420"
"Northamptonshire","Blackmail","2417"
"West Mercia","Burglary in a dwelling","2414"
"Cumbria","Burglary in a dwelling(outcome only)","2390"
"Staffordshire","Blackmail","2386"
"Cambridgeshire","Burglary in a dwelling","2362"
"Durham","Theft from the person","2352"
"West Mercia","Attempted burglary in a building other than a dwelling (outcome only)","2345"
"Hertfordshire","Blackmail","2345"
"Sussex","Attempted burglary in a dwelling (outcome only)","2344"
"Cheshire","Burglary in a dwelling","2339"
"Greater Manchester","Attempted burglary in a dwelling","2326"
"Hertfordshire","Burglary in a building other than a dwelling","2318"
"Nottinghamshire","Attempted burglary in a building other than a dwelling (outcome only)","2317"
"Merseyside","Dishonest use of electricity","2306"
"Hertfordshire","Attempted burglary in a dwelling (outcome only)","2298"
"West Midlands","Attempted burglary in a dwelling","2274"
"Merseyside","Blackmail","2271"
"Warwickshire","Burglary in a building other than a dwelling","2269"
"Staffordshire","Burglary in a dwelling","2268"
"Durham","Burglary in a building other than a dwelling","2261"
"Surrey","Attempted burglary in a dwelling (outcome only)","2255"
"North Wales","Theft from the person","2234"
"Gloucestershire","Burglary in a building other than a dwelling","2199"
"Warwickshire","Attempted Burglary Residential","2176"
"West Yorkshire","Attempted burglary in a building other than a dwelling","2156"
"Merseyside","Theft by an employee","2156"
"Dorset","Attempted Burglary Residential","2153"
"Staffordshire","Theft by an employee","2152"
"Bedfordshire","Attempted burglary in a dwelling (outcome only)","2146"
"Hertfordshire","Theft by an employee","2136"
"South Wales","Theft by an employee","2115"
"Derbyshire","Attempted burglary in a building other than a dwelling (outcome only)","2104"
"Cleveland","Burglary in a building other than a dwelling","2098"
"Hertfordshire","Attempted burglary in a building other than a dwelling (outcome only)","2096"
"Humberside","Blackmail","2088"
"Northamptonshire","Theft by an employee","2087"
"Cheshire","Blackmail","2077"
"British Transport Police","Theft from automatic machine or meter","2069"
"Cheshire","Theft by an employee","2064"
"Northamptonshire","Attempted burglary in a dwelling (outcome only)","2041"
"Dyfed-Powys","Theft or unauthorised taking of motor vehicle","2036"
"Northumbria","Theft from automatic machine or meter","2025"
"Norfolk","Burglary in a building other than a dwelling","2024"
"West Mercia","Attempted burglary in a dwelling (outcome only)","2020"
"Essex","Attempted Burglary Business and Community","1986"
"Norfolk","Blackmail","1973"
"Surrey","Attempted burglary in a building other than a dwelling (outcome only)","1945"
"West Midlands","Residential burglary of a home","1939"
"Cambridgeshire","Attempted Burglary Residential","1894"
"Derbyshire","Blackmail","1889"
"Cambridgeshire","Blackmail","1889"
"Dyfed-Powys","Burglary in a dwelling(outcome only)","1887"
"Devon and Cornwall","Attempted Burglary Business and Community","1871"
"North Wales","Attempted Burglary Residential","1870"
"Cleveland","Attempted burglary in a building other than a dwelling (outcome only)","1861"
"Northamptonshire","Attempted burglary in a building other than a dwelling (outcome only)","1860"
"Gloucestershire","Burglary in a dwelling","1855"
"Lancashire","Dishonest use of electricity","1852"
"Dyfed-Powys","Theft or unauthorised taking of a pedal cycle","1836"
"Staffordshire","Attempted burglary in a dwelling (outcome only)","1832"
"Cleveland","Burglary in a dwelling","1821"
"Merseyside","Attempted Burglary Business and Community","1819"
"South Wales","Attempted Burglary Business and Community","1813"
"West Mercia","Theft by an employee","1809"
"Suffolk","Attempted Burglary Residential","1796"
"Lincolnshire","Burglary in a dwelling","1794"
"Lancashire","Aggravated vehicle taking","1787"
"Greater Manchester","Aggravated Burglary Residential","1782"
"Devon and Cornwall","Attempted burglary in a building other than a dwelling (outcome only)","1782"
"Staffordshire","Attempted burglary in a building other than a dwelling (outcome only)","1773"
"Wiltshire","Attempted Burglary Residential","1766"
"Bedfordshire","Burglary in a building other than a dwelling","1763"
"Northumbria","Attempted burglary in a dwelling (outcome only)","1750"
"Durham","Attempted burglary in a building other than a dwelling (outcome only)","1750"
"North Yorkshire","Attempted Burglary Residential","1735"
"Leicestershire","Theft by an employee","1730"
"Hampshire","Aggravated vehicle taking","1723"
"West Midlands","Theft of mail","1721"
"Norfolk","Attempted Burglary Residential","1719"
"Humberside","Attempted Burglary Business and Community","1697"
"Cambridgeshire","Theft by an employee","1693"
"Leicestershire","Attempted burglary in a dwelling (outcome only)","1681"
"Avon and Somerset","Theft of mail","1662"
"South Wales","Aggravated vehicle taking","1659"
"Derbyshire","Attempted burglary in a dwelling (outcome only)","1654"
"Lincolnshire","Attempted burglary in a building other than a dwelling (outcome only)","1654"
"Northumbria","Aggravated vehicle taking","1652"
"Greater Manchester","Attempted burglary in a building other than a dwelling","1646"
"Dorset","Blackmail","1643"
"Cheshire","Attempted burglary in a building other than a dwelling (outcome only)","1631"
"Humberside","Theft by an employee","1629"
"Devon and Cornwall","Attempted Burglary Residential","1627"
"South Yorkshire","Aggravated vehicle taking","1624"
"Metropolitan Police","Residential burglary ofÂ unconnected building","1619"
"Greater Manchester","Residential burglary of a home","1616"
"Lancashire","Theft from automatic machine or meter","1608"
"Suffolk","Blackmail","1608"
"British Transport Police","Burglary in a building other than a dwelling (outcome only)","1605"
"Gwent","Burglary in a dwelling","1603"
"Suffolk","Burglary in a dwelling","1592"
"West Mercia","Attempted Burglary Business and Community","1585"
"Dorset","Burglary in a dwelling","1583"
"Gwent","Attempted burglary in a building other than a dwelling (outcome only)","1583"
"Hertfordshire","Theft of mail","1577"
"Warwickshire","Burglary in a dwelling","1558"
"Cumbria","Interfering with a motor vehicle","1537"
"West Yorkshire","Theft from automatic machine or meter","1530"
"Dorset","Attempted Burglary Business and Community","1526"
"Nottinghamshire","Attempted Burglary Business and Community","1500"
"Nottinghamshire","Theft by an employee","1494"
"North Yorkshire","Theft by an employee","1490"
"Lincolnshire","Blackmail","1482"
"Cheshire","Attempted burglary in a dwelling (outcome only)","1475"
"North Yorkshire","Blackmail","1469"
"Bedfordshire","Blackmail","1466"
"Cumbria","Theft from the person","1464"
"Wiltshire","Blackmail","1453"
"Derbyshire","Theft by an employee","1438"
"Suffolk","Attempted burglary in a building other than a dwelling (outcome only)","1438"
"Cleveland","Attempted burglary in a dwelling (outcome only)","1431"
"Norfolk","Attempted burglary in a building other than a dwelling (outcome only)","1424"
"Wiltshire","Attempted burglary in a building other than a dwelling (outcome only)","1422"
"South Yorkshire","Attempted burglary in a dwelling","1418"
"Essex","Aggravated vehicle taking","1418"
"West Yorkshire","Residential burglary of a home","1417"
"Derbyshire","Attempted Burglary Business and Community","1415"
"Cambridgeshire","Attempted burglary in a building other than a dwelling (outcome only)","1413"
"Norfolk","Theft by an employee","1411"
"North Yorkshire","Burglary in a dwelling","1408"
"London, City of","Burglary Business and Community","1405"
"Cleveland","Attempted Burglary Business and Community","1393"
"Devon and Cornwall","Attempted burglary in a dwelling (outcome only)","1392"
"Surrey","Theft by an employee","1392"
"Essex","Attempted burglary in a dwelling","1392"
"Thames Valley","Attempted burglary in a building other than a dwelling","1383"
"Kent","Theft from automatic machine or meter","1380"
"North Wales","Blackmail","1367"
"Staffordshire","Attempted Burglary Business and Community","1363"
"Leicestershire","Attempted burglary in a building other than a dwelling (outcome only)","1361"
"North Wales","Burglary in a dwelling","1344"
"South Yorkshire","Residential burglary of a home","1342"
"North Wales","Attempted burglary in a building other than a dwelling (outcome only)","1317"
"London, City of","Theft from vehicle","1315"
"Devon and Cornwall","Aggravated vehicle taking","1313"
"Cumbria","Burglary in a building other than a dwelling","1305"
"Thames Valley","Attempted burglary in a dwelling","1294"
"Gloucestershire","Blackmail","1285"
"Dyfed-Powys","Blackmail","1284"
"West Midlands","Attempted burglary in a building other than a dwelling","1280"
"Thames Valley","Theft from automatic machine or meter","1267"
"Bedfordshire","Theft by an employee","1262"
"Cumbria","Blackmail","1246"
"Gloucestershire","Attempted burglary in a building other than a dwelling (outcome only)","1244"
"Warwickshire","Theft by an employee","1239"
"Durham","Blackmail","1235"
"Merseyside","Theft from automatic machine or meter","1228"
"West Midlands","Distraction Burglary Residential","1228"
"Durham","Burglary in a dwelling","1223"
"Hertfordshire","Attempted Burglary Business and Community","1222"
"North Yorkshire","Attempted burglary in a building other than a dwelling (outcome only)","1215"
"Sussex","Aggravated vehicle taking","1209"
"Bedfordshire","Attempted burglary in a building other than a dwelling (outcome only)","1209"
"South Yorkshire","Theft from automatic machine or meter","1206"
"Lincolnshire","Attempted Burglary Business and Community","1199"
"Cambridgeshire","Attempted burglary in a dwelling (outcome only)","1198"
"Merseyside","Aggravated vehicle taking","1196"
"Lincolnshire","Attempted burglary in a dwelling (outcome only)","1195"
"Northamptonshire","Attempted Burglary Business and Community","1195"
"Norfolk","Burglary in a dwelling","1195"
"South Yorkshire","Attempted burglary in a building other than a dwelling","1186"
"West Yorkshire","Theft of mail","1167"
"Hampshire","Theft from automatic machine or meter","1162"
"Suffolk","Theft by an employee","1160"
"Thames Valley","Aggravated vehicle taking","1160"
"Cumbria","Attempted Burglary Residential","1155"
"Wiltshire","Burglary in a dwelling","1147"
"Leicestershire","Attempted Burglary Business and Community","1144"
"Cleveland","Blackmail","1142"
"Dyfed-Powys","Interfering with a motor vehicle","1137"
"Lancashire","Theft of mail","1131"
"Hampshire","Attempted burglary in a building other than a dwelling","1130"
"Durham","Theft by an employee","1129"
"Warwickshire","Blackmail","1122"
"Devon and Cornwall","Theft from automatic machine or meter","1121"
"Kent","Theft of mail","1111"
"Surrey","Attempted Burglary Business and Community","1109"
"Northumbria","Dishonest use of electricity","1109"
"Staffordshire","Aggravated vehicle taking","1107"
"North Wales","Theft by an employee","1104"
"Warwickshire","Attempted burglary in a dwelling (outcome only)","1095"
"Northumbria","Attempted Burglary Business and Community","1094"
"Gwent","Attempted burglary in a dwelling (outcome only)","1091"
"West Mercia","Aggravated vehicle taking","1086"
"Metropolitan Police","Aggravated burglary in a dwelling (outcome only)","1079"
"Dyfed-Powys","Attempted Burglary Residential","1078"
"Kent","Attempted burglary in a building other than a dwelling","1074"
"Cambridgeshire","Attempted Burglary Business and Community","1067"
"Durham","Aggravated vehicle taking","1065"
"Dorset","Theft by an employee","1063"
"Gwent","Blackmail","1043"
"Durham","Attempted Burglary Business and Community","1027"
"West Yorkshire","Aggravated Burglary Residential","1025"
"Essex","Theft from automatic machine or meter","1012"
"Cheshire","Attempted Burglary Business and Community","1009"
"Gwent","Attempted Burglary Business and Community","1007"
"West Midlands","Distraction burglary in a dwelling (outcome only)","994"
"Metropolitan Police","Distraction burglary in a dwelling","987"
"Kent","Attempted burglary in a dwelling","986"
"West Midlands","Aggravated Burglary Residential","976"
"Cleveland","Aggravated vehicle taking","974"
"Humberside","Aggravated vehicle taking","971"
"Warwickshire","Attempted burglary in a building other than a dwelling (outcome only)","971"
"Dyfed-Powys","Theft from the person","961"
"Leicestershire","Aggravated Burglary Residential","961"
"Lincolnshire","Theft by an employee","961"
"Merseyside","Theft of mail","958"
"Metropolitan Police","Attempted residential burglary of a home","956"
"Wiltshire","Theft by an employee","940"
"North Yorkshire","Attempted burglary in a dwelling (outcome only)","925"
"Bedfordshire","Attempted Burglary Business and Community","919"
"Cleveland","Theft by an employee","917"
"Merseyside","Aggravated Burglary Residential","916"
"Avon and Somerset","Aggravated vehicle taking","915"
"Norfolk","Attempted Burglary Business and Community","914"
"Gloucestershire","Theft by an employee","914"
"Dorset","Attempted burglary in a dwelling (outcome only)","910"
"Gwent","Aggravated vehicle taking","909"
"Lancashire","Attempted burglary in a building other than a dwelling","895"
"Hertfordshire","Theft from automatic machine or meter","893"
"British Transport Police","Burglary Business and Community","891"
"Cumbria","Attempted burglary in a building other than a dwelling (outcome only)","891"
"Gwent","Theft by an employee","888"
"Bedfordshire","Aggravated vehicle taking","885"
"Cumbria","Theft by an employee","885"
"Humberside","Attempted burglary in a building other than a dwelling","880"
"Suffolk","Attempted burglary in a dwelling (outcome only)","875"
"Gloucestershire","Attempted burglary in a dwelling (outcome only)","874"
"Durham","Attempted burglary in a dwelling (outcome only)","872"
"Derbyshire","Aggravated vehicle taking","868"
"North Yorkshire","Attempted Burglary Business and Community","866"
"Avon and Somerset","Attempted burglary in a building other than a dwelling","865"
"North Wales","Attempted burglary in a dwelling (outcome only)","860"
"Suffolk","Attempted Burglary Business and Community","858"
"London, City of","Burglary in a building other than a dwelling (outcome only)","857"
"Leicestershire","Theft from automatic machine or meter","853"
"Hertfordshire","Aggravated vehicle taking","848"
"Merseyside","Attempted burglary in a dwelling","842"
"Wiltshire","Attempted burglary in a dwelling (outcome only)","842"
"North Wales","Attempted Burglary Business and Community","836"
"Wiltshire","Attempted Burglary Business and Community","824"
"Staffordshire","Dishonest use of electricity","820"
"Norfolk","Attempted burglary in a dwelling (outcome only)","819"
"Suffolk","Aggravated vehicle taking","813"
"Nottinghamshire","Aggravated vehicle taking","808"
"South Wales","Attempted burglary in a building other than a dwelling","803"
"Leicestershire","Theft of mail","802"
"North Wales","Aggravated vehicle taking","798"
"Dyfed-Powys","Burglary in a building other than a dwelling","796"
"Essex","Attempted burglary in a building other than a dwelling","788"
"Northumbria","Aggravated Burglary Residential","781"
"South Wales","Theft from automatic machine or meter","780"
"Northamptonshire","Aggravated vehicle taking","766"
"West Midlands","Attempted residential burglary of a home","765"
"Northamptonshire","Theft from automatic machine or meter","765"
"Avon and Somerset","Attempted burglary in a dwelling","764"
"Dyfed-Powys","Theft by an employee","761"
"Sussex","Attempted burglary in a building other than a dwelling","740"
"Kent","Dishonest use of electricity","739"
"Cumbria","Attempted Burglary Business and Community","726"
"Cumbria","Aggravated vehicle taking","724"
"Humberside","Theft from automatic machine or meter","722"
"British Transport Police","Interfering with a motor vehicle","722"
"Cambridgeshire","Theft from automatic machine or meter","711"
"Northamptonshire","Theft of mail","711"
"North Wales","Theft from automatic machine or meter","711"
"Surrey","Theft of mail","710"
"West Mercia","Theft from automatic machine or meter","705"
"Cambridgeshire","Theft of mail","705"
"Avon and Somerset","Theft from automatic machine or meter","704"
"Durham","Dishonest use of electricity","698"
"Surrey","Aggravated vehicle taking","697"
"Northumbria","Residential burglary of a home","689"
"Norfolk","Aggravated vehicle taking","685"
"Norfolk","Theft from automatic machine or meter","684"
"Warwickshire","Attempted Burglary Business and Community","673"
"Cheshire","Aggravated vehicle taking","652"
"Warwickshire","Aggravated vehicle taking","652"
"Lancashire","Aggravated Burglary Residential","648"
"Essex","Residential burglary of a home","646"
"Staffordshire","Theft of mail","646"
"Greater Manchester","Aggravated burglary in a dwelling (outcome only)","637"
"Lancashire","Residential burglary of a home","636"
"Cheshire","Theft from automatic machine or meter","629"
"Nottinghamshire","Dishonest use of electricity","628"
"Dorset","Attempted burglary in a building other than a dwelling (outcome only)","627"
"Cambridgeshire","Aggravated vehicle taking","627"
"London, City of","Theft or unauthorised taking of motor vehicle","623"
"Greater Manchester","Distraction Burglary Residential","619"
"Thames Valley","Residential burglary of a home","618"
"West Mercia","Attempted burglary in a building other than a dwelling","614"
"Merseyside","Attempted burglary in a building other than a dwelling","614"
"Essex","Aggravated Burglary Residential","612"
"British Transport Police","Theft by an employee","607"
"Greater Manchester","Attempted residential burglary of a home","607"
"Greater Manchester","Distraction burglary in a dwelling (outcome only)","598"
"Humberside","Dishonest use of electricity","587"
"South Wales","Attempted burglary in a dwelling","586"
"North Yorkshire","Aggravated vehicle taking","583"
"Leicestershire","Aggravated vehicle taking","579"
"Derbyshire","Aggravated Burglary Residential","578"
"Dyfed-Powys","Aggravated vehicle taking","576"
"Devon and Cornwall","Attempted burglary in a building other than a dwelling","572"
"Cleveland","Dishonest use of electricity","571"
"West Yorkshire","Attempted residential burglary of a home","567"
"West Yorkshire","Distraction burglary in a dwelling (outcome only)","565"
"Hampshire","Attempted burglary in a dwelling","557"
"Cumbria","Burglary in a dwelling","555"
"South Wales","Dishonest use of electricity","555"
"Cleveland","Aggravated Burglary Residential","551"
"Northumbria","Attempted burglary in a building other than a dwelling","551"
"Avon and Somerset","Aggravated Burglary Residential","550"
"Wiltshire","Aggravated vehicle taking","545"
"South Yorkshire","Dishonest use of electricity","543"
"Merseyside","Residential burglary of a home","543"
"South Yorkshire","Attempted residential burglary of a home","536"
"Humberside","Residential burglary of a home","533"
"Lincolnshire","Aggravated vehicle taking","532"
"Lincolnshire","Theft from automatic machine or meter","527"
"West Yorkshire","Residential burglary ofÂ unconnected building","523"
"Kent","Aggravated Burglary Residential","523"
"Nottinghamshire","Attempted burglary in a dwelling","522"
"Staffordshire","Attempted burglary in a building other than a dwelling","519"
"Hertfordshire","Attempted burglary in a dwelling","519"
"Sussex","Attempted burglary in a dwelling","514"
"Humberside","Attempted burglary in a dwelling","510"
"Northamptonshire","Attempted burglary in a building other than a dwelling","508"
"Dorset","Theft from automatic machine or meter","506"
"Sussex","Theft of mail","505"
"Leicestershire","Attempted burglary in a dwelling","505"
"Leicestershire","Residential burglary of a home","505"
"Cleveland","Residential burglary of a home","504"
"Dyfed-Powys","Attempted Burglary Business and Community","503"
"Nottinghamshire","Attempted burglary in a building other than a dwelling","502"
"Essex","Dishonest use of electricity","500"
"Northamptonshire","Attempted burglary in a dwelling","500"
"Hampshire","Residential burglary of a home","497"
"Durham","Theft from automatic machine or meter","497"
"Cumbria","Attempted burglary in a dwelling (outcome only)","494"
"Cheshire","Attempted burglary in a building other than a dwelling","492"
"Kent","Residential burglary of a home","490"
"Sussex","Theft from automatic machine or meter","486"
"Merseyside","Aggravated burglary in a dwelling (outcome only)","486"
"Nottinghamshire","Theft from automatic machine or meter","482"
"Hertfordshire","Attempted burglary in a building other than a dwelling","480"
"Lancashire","Attempted burglary in a dwelling","478"
"British Transport Police","Burglary in a building other than a dwelling","477"
"North Yorkshire","Theft from automatic machine or meter","474"
"Derbyshire","Theft from automatic machine or meter","474"
"Bedfordshire","Theft from automatic machine or meter","473"
"Dorset","Theft of mail","461"
"Bedfordshire","Attempted burglary in a dwelling","459"
"Derbyshire","Attempted burglary in a building other than a dwelling","456"
"Staffordshire","Theft from automatic machine or meter","451"
"South Yorkshire","Aggravated Burglary Residential","450"
"Dyfed-Powys","Attempted burglary in a building other than a dwelling (outcome only)","445"
"West Mercia","Theft of mail","439"
"Staffordshire","Residential burglary of a home","438"
"West Mercia","Residential burglary of a home","437"
"Surrey","Attempted burglary in a dwelling","434"
"Nottinghamshire","Residential burglary of a home","431"
"Hampshire","Theft of mail","430"
"Lincolnshire","Attempted burglary in a building other than a dwelling","430"
"Gwent","Attempted burglary in a building other than a dwelling","430"
"Derbyshire","Residential burglary of a home","429"
"Devon and Cornwall","Attempted burglary in a dwelling","427"
"Metropolitan Police","Attempted distraction burglary in a dwelling (outcome only)","424"
"Hampshire","Residential burglary ofÂ unconnected building","423"
"West Mercia","Attempted burglary in a dwelling","422"
"Gwent","Theft from automatic machine or meter","422"
"West Yorkshire","Distraction Burglary Residential","422"
"Suffolk","Theft of mail","418"
"Suffolk","Attempted burglary in a building other than a dwelling","416"
"Cleveland","Theft from automatic machine or meter","415"
"Bedfordshire","Theft of mail","415"
"Thames Valley","Distraction Burglary Residential","415"
"West Midlands","Residential burglary ofÂ unconnected building","413"
"Dyfed-Powys","Burglary in a dwelling","410"
"Gloucestershire","Aggravated vehicle taking","408"
"Wiltshire","Attempted burglary in a building other than a dwelling","406"
"Derbyshire","Dishonest use of electricity","403"
"Avon and Somerset","Residential burglary of a home","403"
"Suffolk","Theft from automatic machine or meter","403"
"Wiltshire","Theft from automatic machine or meter","402"
"Leicestershire","Dishonest use of electricity","401"
"Staffordshire","Attempted burglary in a dwelling","399"
"Sussex","Residential burglary of a home","398"
"Metropolitan Police","Attempted Distraction Burglary Residential","398"
"Durham","Attempted burglary in a building other than a dwelling","393"
"Thames Valley","Aggravated Burglary Residential","392"
"Devon and Cornwall","Aggravated Burglary Residential","389"
"Hampshire","Aggravated Burglary Residential","389"
"Cheshire","Attempted burglary in a dwelling","387"
"Nottinghamshire","Aggravated Burglary Residential","385"
"Cheshire","Aggravated Burglary Residential","382"
