"forcename","offencedescription","totalviolentoffenses"
"Gloucestershire","Abandoning child under two years (outcomes only)","0"
"Gloucestershire","Poisoning or female genital mutilation (outcomes only)","0"
"Greater Manchester","Assault without injury","335695"
"Greater Manchester","Assault with injury","232922"
"Greater Manchester","Assault with intent to cause serious harm","23866"
"Greater Manchester","Threats to kill","23072"
"Greater Manchester","Assault without injury on a constable","10505"
"Greater Manchester","Racially or religiously aggravated assault without injury","7071"
"Greater Manchester","Cruelty to children/young persons","5811"
"Greater Manchester","Endangering life","4571"
"Greater Manchester","Kidnapping","3894"
"Greater Manchester","Modern slavery","2753"
"Greater Manchester","Racially or religiously aggravated assault with injury","2383"
"Greater Manchester","Harassment","2331"
"Greater Manchester","Assault with injury on a constable","1367"
"Greater Manchester","Attempted murder","1093"
"Greater Manchester","Child abduction","1069"
"Greater Manchester","Assaults on emergency workers (other than constables)","465"
"Greater Manchester","Causing or allowing death of child or vulnerable person","68"
"Greater Manchester","Conspiracy to murder","61"
"Greater Manchester","Racially or religiously aggravated harassment","46"
"Greater Manchester","Causing death by dangerous driving","11"
"Greater Manchester","Intentional destruction of a viable unborn child","10"
"Greater Manchester","Causing death by careless or inconsiderate driving","6"
"Greater Manchester","Procuring illegal abortion","3"
"Greater Manchester","Causing death by driving: unlicensed drivers etc.","1"
"Greater Manchester","Actually bodily harm and other injury(outcomes only)","0"
"Greater Manchester","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Greater Manchester","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Greater Manchester","Causing death by aggravated vehicle taking","0"
"Greater Manchester","Causing death by careless driving under influence of drink or drugs","0"
"Greater Manchester","Endangering life at sea (outcomes only)","0"
"Greater Manchester","Abandoning child under two years (outcomes only)","0"
"Greater Manchester","Use of substance or object to endanger life (outcomes only)","0"
"Greater Manchester","Cruelty to and neglect of children (outcomes only)","0"
"Greater Manchester","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Greater Manchester","Endangering railway passengers (outcomes only)","0"
"Greater Manchester","Possession of items to endanger life(outcomes only)","0"
"Greater Manchester","Poisoning or female genital mutilation (outcomes only)","0"
"Greater Manchester","Wounding or carrying out an act endangering life (outcomes only)","0"
"Gwent","Assault without injury","52610"
"Gwent","Assault with injury","47604"
"Gwent","Threats to kill","3794"
"Gwent","Assault with intent to cause serious harm","3540"
"Gwent","Assault without injury on a constable","1934"
"Gwent","Endangering life","1734"
"Gwent","Cruelty to children/young persons","1346"
"Gwent","Assault with injury on a constable","604"
"Gwent","Harassment","546"
"Gwent","Racially or religiously aggravated assault without injury","365"
"Gwent","Kidnapping","314"
"Gwent","Assaults on emergency workers (other than constables)","275"
"Gwent","Modern slavery","266"
"Gwent","Racially or religiously aggravated assault with injury","199"
"Gwent","Attempted murder","95"
"Gwent","Child abduction","94"
"Gwent","Racially or religiously aggravated harassment","12"
"Gwent","Conspiracy to murder","5"
"Gwent","Causing or allowing death of child or vulnerable person","3"
"Gwent","Causing death by dangerous driving","2"
"Gwent","Procuring illegal abortion","1"
"Gwent","Intentional destruction of a viable unborn child","1"
"Gwent","Causing death by careless or inconsiderate driving","1"
"Gwent","Endangering life at sea (outcomes only)","0"
"Gwent","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Gwent","Poisoning or female genital mutilation (outcomes only)","0"
"Gwent","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Gwent","Use of substance or object to endanger life (outcomes only)","0"
"Gwent","Endangering railway passengers (outcomes only)","0"
"Gwent","Abandoning child under two years (outcomes only)","0"
"Gwent","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Gwent","Causing death by aggravated vehicle taking","0"
"Gwent","Causing death by driving: unlicensed drivers etc.","0"
"Gwent","Wounding or carrying out an act endangering life (outcomes only)","0"
"Gwent","Actually bodily harm and other injury(outcomes only)","0"
"Gwent","Possession of items to endanger life(outcomes only)","0"
"Gwent","Cruelty to and neglect of children (outcomes only)","0"
"Gwent","Causing death by careless driving under influence of drink or drugs","0"
"Hampshire","Assault without injury","200740"
"Hampshire","Assault with injury","190731"
"Hampshire","Assault without injury on a constable","8823"
"Hampshire","Cruelty to children/young persons","7860"
"Hampshire","Threats to kill","7442"
"Hampshire","Assault with intent to cause serious harm","7106"
"Hampshire","Assault with injury on a constable","2406"
"Hampshire","Racially or religiously aggravated assault without injury","1996"
"Hampshire","Racially or religiously aggravated assault with injury","1269"
"Hampshire","Kidnapping","1109"
"Hampshire","Modern slavery","1088"
"Hampshire","Harassment","1084"
"Hampshire","Endangering life","422"
"Hampshire","Assaults on emergency workers (other than constables)","375"
"Hampshire","Child abduction","359"
"Hampshire","Attempted murder","162"
"Hampshire","Racially or religiously aggravated harassment","25"
"Hampshire","Causing or allowing death of child or vulnerable person","14"
"Hampshire","Conspiracy to murder","13"
"Hampshire","Procuring illegal abortion","6"
"Hampshire","Causing death by careless or inconsiderate driving","4"
"Hampshire","Intentional destruction of a viable unborn child","2"
"Hampshire","Causing death by dangerous driving","1"
"Hampshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Hampshire","Causing death by aggravated vehicle taking","0"
"Hampshire","Abandoning child under two years (outcomes only)","0"
"Hampshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Hampshire","Poisoning or female genital mutilation (outcomes only)","0"
"Hampshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Hampshire","Endangering railway passengers (outcomes only)","0"
"Hampshire","Causing death by careless driving under influence of drink or drugs","0"
"Hampshire","Possession of items to endanger life(outcomes only)","0"
"Hampshire","Actually bodily harm and other injury(outcomes only)","0"
"Hampshire","Causing death by driving: unlicensed drivers etc.","0"
"Hampshire","Endangering life at sea (outcomes only)","0"
"Hampshire","Cruelty to and neglect of children (outcomes only)","0"
"Hampshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Hampshire","Use of substance or object to endanger life (outcomes only)","0"
"Hertfordshire","Assault without injury","84836"
"Hertfordshire","Assault with injury","77108"
"Hertfordshire","Assault without injury on a constable","5267"
"Hertfordshire","Threats to kill","5077"
"Hertfordshire","Assault with intent to cause serious harm","2528"
"Hertfordshire","Racially or religiously aggravated assault without injury","1263"
"Hertfordshire","Assault with injury on a constable","1231"
"Hertfordshire","Kidnapping","667"
"Hertfordshire","Harassment","640"
"Hertfordshire","Cruelty to children/young persons","564"
"Hertfordshire","Racially or religiously aggravated assault with injury","519"
"Hertfordshire","Modern slavery","466"
"Hertfordshire","Child abduction","146"
"Hertfordshire","Assaults on emergency workers (other than constables)","142"
"Hertfordshire","Endangering life","100"
"Hertfordshire","Attempted murder","90"
"Hertfordshire","Conspiracy to murder","29"
"Hertfordshire","Racially or religiously aggravated harassment","13"
"Hertfordshire","Causing death by careless or inconsiderate driving","6"
"Hertfordshire","Causing or allowing death of child or vulnerable person","3"
"Hertfordshire","Causing death by dangerous driving","2"
"Hertfordshire","Intentional destruction of a viable unborn child","2"
"Hertfordshire","Causing death by aggravated vehicle taking","1"
"Hertfordshire","Procuring illegal abortion","1"
"Hertfordshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Hertfordshire","Use of substance or object to endanger life (outcomes only)","0"
"Hertfordshire","Abandoning child under two years (outcomes only)","0"
"Hertfordshire","Endangering railway passengers (outcomes only)","0"
"Hertfordshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Hertfordshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Hertfordshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Hertfordshire","Possession of items to endanger life(outcomes only)","0"
"Hertfordshire","Poisoning or female genital mutilation (outcomes only)","0"
"Hertfordshire","Endangering life at sea (outcomes only)","0"
"Hertfordshire","Actually bodily harm and other injury(outcomes only)","0"
"Hertfordshire","Cruelty to and neglect of children (outcomes only)","0"
"Hertfordshire","Causing death by driving: unlicensed drivers etc.","0"
"Hertfordshire","Causing death by careless driving under influence of drink or drugs","0"
"Humberside","Assault without injury","97140"
"Humberside","Assault with injury","95565"
"Humberside","Assault with intent to cause serious harm","8060"
"Humberside","Assault without injury on a constable","4734"
"Humberside","Threats to kill","4491"
"Humberside","Cruelty to children/young persons","1196"
"Humberside","Assault with injury on a constable","1061"
"Humberside","Racially or religiously aggravated assault without injury","1050"
"Humberside","Kidnapping","804"
"Humberside","Racially or religiously aggravated assault with injury","576"
"Humberside","Harassment","560"
"Humberside","Modern slavery","489"
"Humberside","Child abduction","243"
"Humberside","Assaults on emergency workers (other than constables)","234"
"Humberside","Endangering life","177"
"Humberside","Attempted murder","114"
"Humberside","Causing or allowing death of child or vulnerable person","10"
"Humberside","Racially or religiously aggravated harassment","9"
"Humberside","Conspiracy to murder","8"
"Humberside","Causing death by careless or inconsiderate driving","3"
"Humberside","Intentional destruction of a viable unborn child","2"
"Humberside","Causing death by careless driving under influence of drink or drugs","2"
"Humberside","Causing death by dangerous driving","1"
"Humberside","Causing death by aggravated vehicle taking","0"
"Humberside","Actually bodily harm and other injury(outcomes only)","0"
"Humberside","Abandoning child under two years (outcomes only)","0"
"Humberside","Endangering railway passengers (outcomes only)","0"
"Humberside","Use of substance or object to endanger life (outcomes only)","0"
"Humberside","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Humberside","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Humberside","Wounding or carrying out an act endangering life (outcomes only)","0"
"Humberside","Possession of items to endanger life(outcomes only)","0"
"Humberside","Cruelty to and neglect of children (outcomes only)","0"
"Humberside","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Humberside","Procuring illegal abortion","0"
"Humberside","Causing death by driving: unlicensed drivers etc.","0"
"Humberside","Poisoning or female genital mutilation (outcomes only)","0"
"Humberside","Endangering life at sea (outcomes only)","0"
"Kent","Assault without injury","253804"
"Kent","Assault with injury","168446"
"Kent","Threats to kill","11786"
"Kent","Assault with intent to cause serious harm","11337"
"Kent","Assault without injury on a constable","9759"
"Kent","Cruelty to children/young persons","4495"
"Kent","Racially or religiously aggravated assault without injury","2610"
"Kent","Kidnapping","2434"
"Kent","Modern slavery","2035"
"Kent","Assault with injury on a constable","1016"
"Kent","Racially or religiously aggravated assault with injury","903"
"Kent","Harassment","816"
"Kent","Endangering life","362"
"Kent","Assaults on emergency workers (other than constables)","339"
"Kent","Child abduction","331"
"Kent","Attempted murder","268"
"Kent","Racially or religiously aggravated harassment","28"
"Kent","Conspiracy to murder","25"
"Kent","Causing or allowing death of child or vulnerable person","15"
"Kent","Causing death by dangerous driving","8"
"Kent","Intentional destruction of a viable unborn child","4"
"Kent","Procuring illegal abortion","3"
"Kent","Causing death by careless or inconsiderate driving","2"
"Kent","Causing death by driving: unlicensed drivers etc.","0"
"Kent","Causing death by aggravated vehicle taking","0"
"Kent","Actually bodily harm and other injury(outcomes only)","0"
"Kent","Cruelty to and neglect of children (outcomes only)","0"
"Kent","Causing death by careless driving under influence of drink or drugs","0"
"Kent","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Kent","Possession of items to endanger life(outcomes only)","0"
"Kent","Endangering life at sea (outcomes only)","0"
"Kent","Poisoning or female genital mutilation (outcomes only)","0"
"Kent","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Kent","Abandoning child under two years (outcomes only)","0"
"Kent","Wounding or carrying out an act endangering life (outcomes only)","0"
"Kent","Use of substance or object to endanger life (outcomes only)","0"
"Kent","Endangering railway passengers (outcomes only)","0"
"Kent","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Lancashire","Assault without injury","155800"
"Lancashire","Assault with injury","152116"
"Lancashire","Assault with intent to cause serious harm","12218"
"Lancashire","Threats to kill","5812"
"Lancashire","Assault without injury on a constable","4597"
"Lancashire","Cruelty to children/young persons","3094"
"Lancashire","Harassment","1554"
"Lancashire","Racially or religiously aggravated assault without injury","1460"
"Lancashire","Assault with injury on a constable","1134"
"Lancashire","Kidnapping","876"
"Lancashire","Modern slavery","711"
"Lancashire","Racially or religiously aggravated assault with injury","693"
"Lancashire","Child abduction","423"
"Lancashire","Attempted murder","227"
"Lancashire","Assaults on emergency workers (other than constables)","212"
"Lancashire","Endangering life","124"
"Lancashire","Racially or religiously aggravated harassment","22"
"Lancashire","Conspiracy to murder","16"
"Lancashire","Causing or allowing death of child or vulnerable person","13"
"Lancashire","Causing death by dangerous driving","8"
"Lancashire","Causing death by careless or inconsiderate driving","2"
"Lancashire","Intentional destruction of a viable unborn child","2"
"Lancashire","Procuring illegal abortion","1"
"Lancashire","Causing death by driving: unlicensed drivers etc.","1"
"Lancashire","Use of substance or object to endanger life (outcomes only)","0"
"Lancashire","Causing death by aggravated vehicle taking","0"
"Lancashire","Poisoning or female genital mutilation (outcomes only)","0"
"Lancashire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Lancashire","Possession of items to endanger life(outcomes only)","0"
"Lancashire","Cruelty to and neglect of children (outcomes only)","0"
"Lancashire","Endangering railway passengers (outcomes only)","0"
"Lancashire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Lancashire","Abandoning child under two years (outcomes only)","0"
"Lancashire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Lancashire","Causing death by careless driving under influence of drink or drugs","0"
"Lancashire","Endangering life at sea (outcomes only)","0"
"Lancashire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Lancashire","Actually bodily harm and other injury(outcomes only)","0"
"Leicestershire","Assault without injury","86763"
"Leicestershire","Assault with injury","83965"
"Leicestershire","Threats to kill","6910"
"Leicestershire","Assault without injury on a constable","4147"
"Leicestershire","Assault with intent to cause serious harm","3383"
"Leicestershire","Racially or religiously aggravated assault without injury","1036"
"Leicestershire","Kidnapping","999"
"Leicestershire","Cruelty to children/young persons","922"
"Leicestershire","Assault with injury on a constable","897"
"Leicestershire","Modern slavery","853"
"Leicestershire","Harassment","753"
"Leicestershire","Racially or religiously aggravated assault with injury","550"
"Leicestershire","Endangering life","459"
"Leicestershire","Child abduction","297"
"Leicestershire","Assaults on emergency workers (other than constables)","258"
"Leicestershire","Attempted murder","187"
"Leicestershire","Racially or religiously aggravated harassment","36"
"Leicestershire","Causing or allowing death of child or vulnerable person","14"
"Leicestershire","Conspiracy to murder","9"
"Leicestershire","Causing death by careless or inconsiderate driving","6"
"Leicestershire","Causing death by careless driving under influence of drink or drugs","2"
"Leicestershire","Procuring illegal abortion","2"
"Leicestershire","Causing death by dangerous driving","1"
"Leicestershire","Intentional destruction of a viable unborn child","1"
"Leicestershire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Leicestershire","Endangering life at sea (outcomes only)","0"
"Leicestershire","Actually bodily harm and other injury(outcomes only)","0"
"Leicestershire","Possession of items to endanger life(outcomes only)","0"
"Leicestershire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Leicestershire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Leicestershire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Leicestershire","Cruelty to and neglect of children (outcomes only)","0"
"Leicestershire","Causing death by aggravated vehicle taking","0"
"Leicestershire","Poisoning or female genital mutilation (outcomes only)","0"
"Leicestershire","Abandoning child under two years (outcomes only)","0"
"Leicestershire","Causing death by driving: unlicensed drivers etc.","0"
"Leicestershire","Use of substance or object to endanger life (outcomes only)","0"
"Leicestershire","Endangering railway passengers (outcomes only)","0"
"Lincolnshire","Assault without injury","50797"
"Lincolnshire","Assault with injury","49534"
"Lincolnshire","Threats to kill","4949"
"Lincolnshire","Assault with intent to cause serious harm","3175"
"Lincolnshire","Assault without injury on a constable","2749"
"Lincolnshire","Cruelty to children/young persons","809"
"Lincolnshire","Assault with injury on a constable","634"
"Lincolnshire","Modern slavery","584"
"Lincolnshire","Kidnapping","373"
"Lincolnshire","Harassment","358"
"Lincolnshire","Racially or religiously aggravated assault without injury","316"
"Lincolnshire","Endangering life","306"
"Lincolnshire","Racially or religiously aggravated assault with injury","169"
"Lincolnshire","Child abduction","124"
"Lincolnshire","Attempted murder","123"
"Lincolnshire","Assaults on emergency workers (other than constables)","78"
"Lincolnshire","Racially or religiously aggravated harassment","20"
"Lincolnshire","Conspiracy to murder","14"
"Lincolnshire","Causing death by dangerous driving","11"
"Lincolnshire","Causing death by careless or inconsiderate driving","9"
"Lincolnshire","Causing or allowing death of child or vulnerable person","4"
"Lincolnshire","Causing death by driving: unlicensed drivers etc.","1"
"Lincolnshire","Intentional destruction of a viable unborn child","1"
"Lincolnshire","Causing death by careless driving under influence of drink or drugs","1"
"Lincolnshire","Procuring illegal abortion","1"
"Lincolnshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Lincolnshire","Endangering railway passengers (outcomes only)","0"
"Lincolnshire","Poisoning or female genital mutilation (outcomes only)","0"
"Lincolnshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Lincolnshire","Endangering life at sea (outcomes only)","0"
"Lincolnshire","Actually bodily harm and other injury(outcomes only)","0"
"Lincolnshire","Causing death by aggravated vehicle taking","0"
"Lincolnshire","Possession of items to endanger life(outcomes only)","0"
"Lincolnshire","Abandoning child under two years (outcomes only)","0"
"Lincolnshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Lincolnshire","Use of substance or object to endanger life (outcomes only)","0"
"Lincolnshire","Cruelty to and neglect of children (outcomes only)","0"
"Lincolnshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"London, City of","Assault without injury","4151"
"London, City of","Assault with injury","3434"
"London, City of","Assault without injury on a constable","301"
"London, City of","Assault with intent to cause serious harm","224"
"London, City of","Racially or religiously aggravated assault without injury","174"
"London, City of","Assault with injury on a constable","89"
"London, City of","Racially or religiously aggravated assault with injury","88"
"London, City of","Threats to kill","87"
"London, City of","Modern slavery","51"
"London, City of","Harassment","32"
"London, City of","Kidnapping","26"
"London, City of","Attempted murder","15"
"London, City of","Endangering life","14"
"London, City of","Cruelty to children/young persons","14"
"London, City of","Child abduction","2"
"London, City of","Racially or religiously aggravated harassment","1"
"London, City of","Conspiracy to murder","1"
"London, City of","Possession of items to endanger life(outcomes only)","0"
"London, City of","Causing death by aggravated vehicle taking","0"
"London, City of","Intentional destruction of a viable unborn child","0"
"London, City of","Causing death by driving: unlicensed drivers etc.","0"
"London, City of","Poisoning or female genital mutilation (outcomes only)","0"
"London, City of","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"London, City of","Causing death by careless or inconsiderate driving","0"
"London, City of","Endangering life at sea (outcomes only)","0"
"London, City of","Inflicting grievous bodily harm without intent (outcomes only)","0"
"London, City of","Endangering railway passengers (outcomes only)","0"
"London, City of","Cruelty to and neglect of children (outcomes only)","0"
"London, City of","Causing or allowing death of child or vulnerable person","0"
"London, City of","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"London, City of","Causing death by dangerous driving","0"
"London, City of","Assaults on emergency workers (other than constables)","0"
"London, City of","Wounding or carrying out an act endangering life (outcomes only)","0"
"London, City of","Abandoning child under two years (outcomes only)","0"
"London, City of","Procuring illegal abortion","0"
"London, City of","Actually bodily harm and other injury(outcomes only)","0"
"London, City of","Use of substance or object to endanger life (outcomes only)","0"
"London, City of","Causing death by careless driving under influence of drink or drugs","0"
"Merseyside","Assault without injury","152222"
"Merseyside","Assault with injury","124396"
"Merseyside","Assault with intent to cause serious harm","10411"
"Merseyside","Threats to kill","5530"
"Merseyside","Assault without injury on a constable","5013"
"Merseyside","Cruelty to children/young persons","4196"
"Merseyside","Racially or religiously aggravated assault without injury","2081"
"Merseyside","Assault with injury on a constable","1976"
"Merseyside","Kidnapping","1289"
"Merseyside","Modern slavery","1114"
"Merseyside","Racially or religiously aggravated assault with injury","1027"
"Merseyside","Harassment","613"
"Merseyside","Assaults on emergency workers (other than constables)","434"
"Merseyside","Endangering life","364"
"Merseyside","Attempted murder","261"
"Merseyside","Child abduction","208"
"Merseyside","Conspiracy to murder","33"
"Merseyside","Causing or allowing death of child or vulnerable person","21"
"Merseyside","Racially or religiously aggravated harassment","19"
"Merseyside","Intentional destruction of a viable unborn child","4"
"Merseyside","Causing death by dangerous driving","4"
"Merseyside","Procuring illegal abortion","4"
"Merseyside","Causing death by careless driving under influence of drink or drugs","0"
"Merseyside","Actually bodily harm and other injury(outcomes only)","0"
"Merseyside","Endangering life at sea (outcomes only)","0"
"Merseyside","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Merseyside","Use of substance or object to endanger life (outcomes only)","0"
"Merseyside","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Merseyside","Abandoning child under two years (outcomes only)","0"
"Merseyside","Wounding or carrying out an act endangering life (outcomes only)","0"
"Merseyside","Cruelty to and neglect of children (outcomes only)","0"
"Merseyside","Poisoning or female genital mutilation (outcomes only)","0"
"Merseyside","Causing death by aggravated vehicle taking","0"
"Merseyside","Causing death by driving: unlicensed drivers etc.","0"
"Merseyside","Causing death by careless or inconsiderate driving","0"
"Merseyside","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Merseyside","Endangering railway passengers (outcomes only)","0"
"Merseyside","Possession of items to endanger life(outcomes only)","0"
"Metropolitan Police","Assault with injury","726299"
"Metropolitan Police","Assault without injury","713156"
"Metropolitan Police","Threats to kill","59845"
"Metropolitan Police","Assault with intent to cause serious harm","49103"
"Metropolitan Police","Cruelty to children/young persons","35347"
"Metropolitan Police","Assault without injury on a constable","31333"
"Metropolitan Police","Harassment","21701"
"Metropolitan Police","Racially or religiously aggravated assault without injury","17980"
"Metropolitan Police","Assault with injury on a constable","15388"
"Metropolitan Police","Modern slavery","13280"
"Metropolitan Police","Kidnapping","8997"
"Metropolitan Police","Racially or religiously aggravated assault with injury","7471"
"Metropolitan Police","Endangering life","3570"
"Metropolitan Police","Assaults on emergency workers (other than constables)","2037"
"Metropolitan Police","Child abduction","1683"
"Metropolitan Police","Attempted murder","1661"
"Metropolitan Police","Racially or religiously aggravated harassment","622"
"Metropolitan Police","Conspiracy to murder","61"
"Metropolitan Police","Intentional destruction of a viable unborn child","17"
"Metropolitan Police","Causing death by dangerous driving","14"
"Metropolitan Police","Causing death by careless or inconsiderate driving","8"
"Metropolitan Police","Causing or allowing death of child or vulnerable person","8"
"Metropolitan Police","Procuring illegal abortion","7"
"Metropolitan Police","Causing death by aggravated vehicle taking","0"
"Metropolitan Police","Actually bodily harm and other injury(outcomes only)","0"
"Metropolitan Police","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Metropolitan Police","Endangering life at sea (outcomes only)","0"
"Metropolitan Police","Endangering railway passengers (outcomes only)","0"
"Metropolitan Police","Possession of items to endanger life(outcomes only)","0"
"Metropolitan Police","Causing death by careless driving under influence of drink or drugs","0"
"Metropolitan Police","Poisoning or female genital mutilation (outcomes only)","0"
"Metropolitan Police","Wounding or carrying out an act endangering life (outcomes only)","0"
"Metropolitan Police","Abandoning child under two years (outcomes only)","0"
"Metropolitan Police","Use of substance or object to endanger life (outcomes only)","0"
"Metropolitan Police","Cruelty to and neglect of children (outcomes only)","0"
"Metropolitan Police","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Metropolitan Police","Causing death by driving: unlicensed drivers etc.","0"
"Metropolitan Police","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Norfolk","Assault without injury","87384"
"Norfolk","Assault with injury","66245"
"Norfolk","Assault without injury on a constable","4989"
"Norfolk","Threats to kill","3942"
"Norfolk","Assault with intent to cause serious harm","2420"
"Norfolk","Cruelty to children/young persons","1339"
"Norfolk","Assault with injury on a constable","902"
"Norfolk","Kidnapping","703"
"Norfolk","Racially or religiously aggravated assault without injury","633"
"Norfolk","Modern slavery","588"
"Norfolk","Harassment","348"
"Norfolk","Assaults on emergency workers (other than constables)","314"
"Norfolk","Racially or religiously aggravated assault with injury","288"
"Norfolk","Endangering life","287"
"Norfolk","Child abduction","189"
"Norfolk","Attempted murder","53"
"Norfolk","Causing or allowing death of child or vulnerable person","7"
"Norfolk","Conspiracy to murder","5"
"Norfolk","Causing death by careless or inconsiderate driving","4"
"Norfolk","Intentional destruction of a viable unborn child","3"
"Norfolk","Procuring illegal abortion","3"
"Norfolk","Causing death by dangerous driving","0"
"Norfolk","Endangering life at sea (outcomes only)","0"
"Norfolk","Possession of items to endanger life(outcomes only)","0"
"Norfolk","Abandoning child under two years (outcomes only)","0"
"Norfolk","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Norfolk","Causing death by careless driving under influence of drink or drugs","0"
"Norfolk","Actually bodily harm and other injury(outcomes only)","0"
"Norfolk","Causing death by aggravated vehicle taking","0"
"Norfolk","Use of substance or object to endanger life (outcomes only)","0"
"Norfolk","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Norfolk","Causing death by driving: unlicensed drivers etc.","0"
"Norfolk","Endangering railway passengers (outcomes only)","0"
"Norfolk","Racially or religiously aggravated harassment","0"
"Norfolk","Cruelty to and neglect of children (outcomes only)","0"
"Norfolk","Poisoning or female genital mutilation (outcomes only)","0"
"Norfolk","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Norfolk","Wounding or carrying out an act endangering life (outcomes only)","0"
"North Wales","Assault without injury","81002"
"North Wales","Assault with injury","61051"
"North Wales","Assault with intent to cause serious harm","3888"
"North Wales","Assault without injury on a constable","2492"
"North Wales","Threats to kill","2126"
"North Wales","Cruelty to children/young persons","1218"
"North Wales","Assault with injury on a constable","1059"
"North Wales","Harassment","774"
"North Wales","Modern slavery","608"
"North Wales","Racially or religiously aggravated assault without injury","444"
"North Wales","Kidnapping","362"
"North Wales","Endangering life","194"
"North Wales","Racially or religiously aggravated assault with injury","148"
"North Wales","Assaults on emergency workers (other than constables)","93"
"North Wales","Attempted murder","50"
"North Wales","Child abduction","46"
"North Wales","Racially or religiously aggravated harassment","17"
"North Wales","Conspiracy to murder","8"
"North Wales","Intentional destruction of a viable unborn child","3"
"North Wales","Causing or allowing death of child or vulnerable person","2"
"North Wales","Causing death by dangerous driving","2"
"North Wales","Procuring illegal abortion","1"
"North Wales","Causing death by careless or inconsiderate driving","1"
"North Wales","Wounding or carrying out an act endangering life (outcomes only)","0"
"North Wales","Poisoning or female genital mutilation (outcomes only)","0"
"North Wales","Cruelty to and neglect of children (outcomes only)","0"
"North Wales","Use of substance or object to endanger life (outcomes only)","0"
"North Wales","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"North Wales","Abandoning child under two years (outcomes only)","0"
"North Wales","Endangering life at sea (outcomes only)","0"
"North Wales","Causing death by careless driving under influence of drink or drugs","0"
"North Wales","Actually bodily harm and other injury(outcomes only)","0"
"North Wales","Endangering railway passengers (outcomes only)","0"
"North Wales","Causing death by driving: unlicensed drivers etc.","0"
"North Wales","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"North Wales","Inflicting grievous bodily harm without intent (outcomes only)","0"
"North Wales","Possession of items to endanger life(outcomes only)","0"
"North Wales","Causing death by aggravated vehicle taking","0"
"North Yorkshire","Assault with injury","53863"
"North Yorkshire","Assault without injury","49670"
"North Yorkshire","Assault without injury on a constable","2859"
"North Yorkshire","Assault with intent to cause serious harm","2055"
"North Yorkshire","Threats to kill","954"
"North Yorkshire","Cruelty to children/young persons","888"
"North Yorkshire","Assault with injury on a constable","712"
"North Yorkshire","Racially or religiously aggravated assault without injury","454"
"North Yorkshire","Modern slavery","394"
"North Yorkshire","Harassment","357"
"North Yorkshire","Kidnapping","304"
"North Yorkshire","Racially or religiously aggravated assault with injury","235"
"North Yorkshire","Child abduction","73"
